,eval_d,kospi,mom,beme,gpa,usdkrw,kiscompbondcall
0,2005-02-01,,,,,,
1,2005-02-02,-0.00244,0.00863,0.03158,0.00766,0.00034,0.00015
2,2005-02-03,0.00798,0.00996,0.00631,-0.00178,-0.00229,-0.00038
3,2005-02-04,0.00512,0.01515,0.01251,0.00834,0.00195,-0.00156
4,2005-02-07,0.01675,0.02722,0.02281,0.01971,-0.00097,-0.00225
5,2005-02-11,-0.00206,0.01427,0.01343,0.00582,0.00682,-0.00277
6,2005-02-14,0.01854,0.01818,0.02326,0.02305,-0.00774,0.00053
7,2005-02-15,0.00424,0.00484,0.01416,0.00239,0.00127,0.0025
8,2005-02-16,0.00277,0.00312,7e-05,0.00326,-0.00127,0.00238
9,2005-02-17,0.00103,0.00292,0.01264,0.00656,0.0,-0.00091
10,2005-02-18,0.01187,0.00969,0.01929,0.01123,-0.00098,0.00246
11,2005-02-21,0.00468,0.02159,0.03138,0.01927,-0.00098,-0.00052
12,2005-02-22,-0.01103,-0.01119,-0.00928,-0.01404,-0.01759,-0.00025
13,2005-02-23,-0.00958,0.00855,0.01672,0.00168,-0.00199,0.0004
14,2005-02-24,0.01928,0.01983,0.03548,0.022,0.00299,0.00115
15,2005-02-25,0.00998,0.00361,0.00015,0.00544,0.00199,0.0012
16,2005-02-28,0.01445,0.01051,0.03281,0.00433,-0.00198,0.00146
17,2005-03-02,-0.00384,-0.00304,0.00551,0.01034,0.00099,-0.00072
18,2005-03-03,0.00341,0.00403,0.02061,0.0133,-0.00099,-9e-05
19,2005-03-04,0.00202,0.01122,0.00686,0.00683,0.00199,-0.00146
20,2005-03-07,-0.00539,-0.0099,-0.00782,-0.01305,-0.00377,0.00075
21,2005-03-08,-0.00717,-0.02642,-0.02614,-0.01963,-0.0004,0.0008
22,2005-03-09,0.00851,0.02142,0.00778,0.01215,-0.00319,0.00043
23,2005-03-10,-0.01004,-0.00943,0.00137,-0.00264,-0.0008,0.00121
24,2005-03-11,0.02416,0.01218,0.01679,0.01947,-0.00255,2e-05
25,2005-03-14,-0.00303,0.0071,0.00531,0.00295,0.00306,0.00092
26,2005-03-15,-0.02605,-0.02586,-0.0339,-0.01544,0.0031,0.0006
27,2005-03-16,0.0,-0.00131,-0.00346,0.00299,-0.0001,0.00034
28,2005-03-17,-0.01317,-0.03161,-0.04119,-0.01651,-0.00294,0.00072
29,2005-03-18,-0.00034,-0.0062,-0.0149,-0.00761,0.00415,0.00071
30,2005-03-21,-0.00046,-0.0089,-0.01054,-0.01422,0.00448,-0.00052
31,2005-03-22,0.00116,-0.00276,6e-05,-0.00475,0.0001,0.00047
32,2005-03-23,-0.01387,-0.01672,-0.02831,-0.02299,-0.00109,-0.00107
33,2005-03-24,-0.01084,-0.01262,-0.01148,-0.00365,0.00496,-0.00147
34,2005-03-25,0.00938,0.01217,0.024,0.01557,0.0,-0.00075
35,2005-03-28,0.01285,0.01266,0.01593,0.02686,0.00296,0.00085
36,2005-03-29,-0.01917,-0.01158,-0.01831,-0.02168,0.00689,0.00303
37,2005-03-30,-0.00366,0.00457,0.00164,0.00174,0.0,0.00075
38,2005-03-31,0.01071,0.0123,0.01002,0.00838,-0.00782,-5e-05
39,2005-04-01,0.0168,0.01244,0.01177,0.00581,-0.00788,0.00064
40,2005-04-04,0.00061,0.00191,-0.00484,-0.0019,0.00596,0.00011
41,2005-04-06,0.0056,0.00841,0.00144,0.00863,0.0,0.00018
42,2005-04-07,0.00091,0.00213,0.00575,0.00077,-0.00099,0.00104
43,2005-04-08,0.00331,-0.00136,0.00272,0.00667,0.00267,0.00048
44,2005-04-11,-0.00628,0.00383,-0.00785,-0.0078,0.0003,-9e-05
45,2005-04-12,-0.00421,-0.00865,-0.01065,-0.00091,0.00098,-0.00078
